objid,specz,ra,dec,proj_sep,velocity,v_rel
1237671768542478711,0.08245682,257.82458,64.133257,8.34773316331893,24719.93274666356,662365.3024178266
1237671768542478713,0.08121841,257.83332,64.126043,8.01125941762232,24348.66676875178,319185.3484250842
1237671768542544090,0.079564395,257.85137,64.173247,8.73927598457626,23852.80554633291,-139779.03881123388
1237671768542544107,0.08084181,257.89303,64.141138,6.83964153849707,24235.76492906898,214746.3054160911
1237671768542544127,0.08457541,257.91585,64.10729,5.66610779907602,25355.07005025778,1248541.0348580726
1237671768542544154,0.07678025,257.91496,64.168562,7.22895011636539,23018.1398733545,-913925.3211436672
1237671768542544161,0.08329739,257.93432,64.112149,5.24559980841963,24971.92929308462,895073.9311227441
1237671768542544196,0.082783205,257.9528,64.152581,5.85921880801866,24817.78050806789,752745.3205517397
1237671768542544199,0.082084025,257.93802,64.204363,8.36496672167737,24608.171617283453,559100.2928286113
1237671768542544203,0.07728186,257.95663,64.168201,6.40551751164203,23168.518768211878,-774302.8822522335
1237671768542544216,0.08294442,257.98049,64.141747,4.88885590194946,24866.11154918436,797377.6349000933
1237671768542544237,0.079333115,258.01999,64.145244,4.26354825427288,23783.46954664667,-204011.80258972655
1237671768542544239,0.08237245,258.02871,64.142159,3.97763525816346,24694.6392569821,638997.75941648
1237671768542544274,0.073645875,258.05701,64.141009,3.46845400228842,22078.477887810746,-1787838.5378453888
1237671768542544330,0.07523879,258.09561,64.141326,3.0515278366364,22556.02179104582,-1343393.2057459545
1237671768542544423,0.07603376,258.15875,64.241688,8.97834879135005,22794.347801382082,-1121829.4792213421
1237671768542544479,0.08272765,258.12681,64.15857,3.95860822591784,24801.1255380637,737363.391527333
1237671768542609591,0.0766105,258.25996,64.169255,5.73084573574089,22967.250103609,-961189.6386167657
1237671768542609598,0.08332969,258.26084,64.181085,6.3259228071823,24981.61258947802,904012.4414007665
1237671768542609650,0.08411482,258.32128,64.193657,7.87254925534861,25216.98864202756,1121202.192834079
1237671768542609695,0.07794407,258.39865,64.134166,7.48153702491074,23367.04433182406,-590076.6878038198
1237671768542609714,0.084620605,258.38129,64.205896,9.4683785866582,25368.61917039709,1261033.1127379816
1237671768542609733,0.077776855,258.41181,64.158894,8.39705683897268,23316.91453595959,-636585.106833784
1237671768542609746,0.07680839,258.40222,64.205586,9.84451865826389,23026.576033122623,-906090.8797090573
1237671768542609778,0.0953292,258.45092,64.147217,9.03657227998076,28578.9751871736,4206136.789473533
1237671939804495950,0.08278586,257.78072,64.08254,9.16266876776864,24818.576457043884,753480.4104326246
1237671939804496202,0.08275887000000001,257.77059,64.052263,9.71683573854498,24810.485058602462,746007.6044243772
1237671939804496253,0.07125111,257.87064,63.980187,9.57768958945408,21360.545402128384,-2457238.0502939913
1237671939804496277,0.069976125,257.9009,64.016662,7.53289873727424,20978.31451506525,-2814230.8398071877
1237671939804496307,0.07863752,257.90819,64.04625,6.43692039319577,23574.93541182416,-397280.3501009014
1237671939804561468,0.07981008,258.09657,64.032519,3.70664787740265,23926.460056376643,-71560.6711814853
1237671939804561470,0.073974925,258.20851,64.052953,3.15461731876477,22177.12459611565,-1695975.6000818787
1237671939804561472,0.08352977,258.17109,64.07271,1.61725978254824,25041.595064474663,959375.4188058286
1237671939804561475,0.0739049,258.21347,64.073183,2.49130869181345,22156.1316292442,-1715522.5849852543
1237671939804561476,0.073451665,258.12006,64.060761,1.92712417730773,22020.25519454257,-1842070.409702885
1237671939804561478,0.08687198500000001,258.11782,64.031104,3.7026693938787,26043.565914489136,1882659.1709862968
1237671939804561483,0.08280216,258.13376,64.038556,3.24454238250728,24823.463074109277,757993.3519218897
1237671939804561484,0.08562605,258.18179,64.053546,2.71485053256142,25670.043998330897,1538806.3829205644
1237671939804561485,0.082796675,258.15028,64.085551,0.690984971688509,24821.81871247715,756474.7408896313
1237671939804561487,0.08264548,258.08067,64.035634,3.65059811035922,24776.49159178984,714610.9139320238
1237671939804561491,0.079472405,258.10986,64.082134,0.812440961535028,23825.22763812149,-165325.52423517837
1237671939804561492,0.08442297,258.13856,64.071678,1.27825780662662,25309.36968796026,1206402.1410799595
1237671939804561603,0.082886055,258.22681,63.992408,6.53238488294065,24848.61416237319,781220.0771170295
1237671939804561642,0.07399645,258.24041,64.051036,3.83133724582239,22183.577628774103,-1689967.3013263065
1237671939804561746,0.08339601,257.92393,64.083086,5.4200435831488,25001.494825292582,922364.6041470642
1237671939804561753,0.07388825,257.9832,63.958064,8.93996808645879,22151.1400848185,-1720170.5004812505
1237671939804561763,0.08735447,257.95132,64.075248,4.78709901380308,26188.21127858726,2015708.098946053
1237671939804561772,0.078259845,257.99905,63.964991,8.38820329370662,23461.711295249006,-502268.0639914804
1237671939804561802,0.08275175,258.00482,63.980452,7.48288271217475,24808.350536301503,744036.2364719239
1237671939804561812,0.083501325,257.99055,64.055714,4.26344288080586,25033.067468006848,951505.1950027479
1237671939804561826,0.07503507,258.0042,64.037866,4.64744635364243,22494.948071502058,-1400197.5430094344
1237671939804561830,0.07970303000000001,257.99197,64.08917,3.61147590910512,23894.367273747743,-101282.9079332323
1237671939804561850,0.07901837,258.0388,63.982832,7.00307958006004,23689.11136945346,-291447.1563012954
1237671939804561862,0.08279845,258.02928,64.05549,3.44481300968436,24822.3508440901,756966.1792166234
1237671939804561897,0.07967802,258.03354,64.097415,2.5308081735224,23886.86946437316,-108227.31309890356
1237671939804561900,0.0809986,258.07722,64.008077,5.25428766032034,24282.7693885588,258231.87449215873
1237671939804561916,0.08577074500000001,258.11872,63.963722,7.7374272293741,25713.42246804121,1578759.7411125167
1237671939804561927,0.08496328,258.13516,64.002787,5.38985659180054,25471.350550942243,1355732.768762159
1237671939804561928,0.07837883,258.13222,63.997333,5.71585730358929,23497.38210086414,-469188.1490392646
1237671939804561934,0.08224989,258.12711,64.016596,4.56050338673897,24657.89669332962,605049.6615916906
1237671939804561948,0.07412706,258.11967,64.109101,1.02191520029795,22222.733521713475,-1653512.5302768175
1237671939804561959,0.07060246,258.20332,63.938051,9.47523162397447,21166.08502424668,-2638806.32666739
1237671939804561961,0.08254481,258.20006,63.937414,9.49403590321144,24746.311485042977,686733.510242736
1237671939804561964,0.07617816,258.14202,64.097222,0.429174675284157,22837.63783231728,-1081601.6132783685
